MolName,FID,rgyr,glob,AM1_E,AM1_HF,AM1_HOMO,apol,ASA,ASA+,ASA-,ASA_H,ASA_P,ast_violation,a_acc,a_aro,a_hyd,a_ICM,a_nN,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_2,bpol,b_1rotN,b_max1len,b_rotR,CASA+,CASA-,chi1_C,DASA,DCASA,density,dipole,dipoleX,dipoleY,dipoleZ,E_ang,E_ele,E_nb,E_oop,E_rsol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA_P,FCASA+,FCASA-,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SMR_2,h_ema,h_logD,h_pavgQ,h_pKa,h_pstates,h_pstrain,KierA2,KierA3,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,MNDO_dipole,MNDO_HF,MNDO_HOMO,npr1,npr2,opr_brigid,opr_nrot,opr_violation,PC+,PC-,PEOE_PC-,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA_FHYD,PEOE_VSA_FPNEG,PEOE_VSA_FPOS,PEOE_VSA_PNEG,PEOE_VSA_POL,PM3_dipole,PM3_E,PM3_HF,PM3_HOMO,pmi1,pmiX,pmiY,pmiZ,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOS,Q_VSA_PNEG,Q_VSA_POS,Q_VSA_PPOS,RPC-,rsynth,SlogP_VSA0,SlogP_VSA1,SlogP_VSA4,SlogP_VSA5,SlogP_VSA8,SlogP_VSA9,SMR_VSA0,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,std_dim2,std_dim3,TPSA,vsa_pol,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW8,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID3,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8,weinerPath
p0,1.032752896,4.7418394,0.042330436,-79765.609,450.08786,-13.99255,43.67548,559.77734,379.39484,180.38252,291.8623,267.91507,0,2,12,12,1.4994717,7,1.5532916,-2.24596,-0.64180613,0.70417589,-0.53807992,0.80591482,2.3486133,0.85431087,16.604519,5,2,0.22727273,2628.4475,888.56433,5.932653,199.01233,1739.8832,0.73603261,2.4563348,-1.3618281,0.97560602,-1.7964402,4.603199,-66.417267,-177.28873,0.023419101,0,-0.35383767,4.3714461,0.003642257,14.80979,35.447216,0.67776024,0.47861007,4.6955228,1.587353,-0.80321497,-0.38028872,0.14103027,2.3187189,-0.31925759,0.16445385,0.19305076,3.8514266,-4.1837769,1.9976944,9.6362066,1.0172626,0.001396941,5.1652851,3.3024695,7,9,1,1,2.29,-3.8319499,6.8387094,443.83548,-14.06092,0.085199714,0.95973027,15,5,1,6.928,-4.9260001,-1.9251568,0.14905517,0,51.93927,0,98.03923,13.159503,0.59796488,0.10059646,0.50130683,30.479832,121.81306,7.3091884,-70092.844,454.50125,-13.86194,530.87183,2824.2966,694.94836,2851.6436,-4.9260001,0.10551386,0.15306537,0.56951851,0.51327145,0.10059646,0.48672858,30.479832,147.47443,99.95224,0.15306537,0.47619048,129.13831,22.544069,6.37115,33.203491,0,5.513495,0,96.547424,6.37115,89.196098,141.14548,4.6558404,0,1.4148219,1.0087638,139.97,102.97154,0.74428195,0.089364514,2.8830574,2.6787055,1.6379215,0.72933644,0.02182604,129.375,69.5,0.5,0.70710677,0.5,0.5,0.70710677,0.5,-2.4419272,-2.4319777,-7.8146996,-7.768959,-7.4387002,1.34428,88.75,60.75,55.75,15,-4.5,-3.875,1.375,1.5,0.19256623,0.086656816,0.15921751,0.18538484,0.18391891,0.21111324,0.44199526,0.25636828,0.31253582,0.24712007,1.6936837,3.7807455,4.570312,1.3456,905.75,445.625,155.75,60.875,22,8.375,845,389.875,140.75,25.875,7,1.125,1164
p1,0.504380188,7.7446642,0.021341752,-129596.84,894.36456,-16.429029,82.572098,949.18976,402.67148,163.56027,676.37592,272.81384,1,2,12,23,1.3582785,9,1.4786052,-2.6916139,-0.53630579,0.70417643,-0.53807992,0.54057205,2.569618,0.72254223,50.307899,14,8,0.40000001,4399.5889,1132.4913,8.4326534,239.11122,3267.0974,0.67051315,5.0767932,0.80111456,4.8818488,-1.1399988,11.148565,23.973684,-282.78131,0.020046178,0,0.27345353,6.4736905,0.008879409,5.7700319,55.739506,0.42422652,0.28741762,4.6350989,1.1931137,-0.88837916,-0.3469803,0.13425018,2.6795216,-0.31396762,0.16445385,0.14322865,3.8529639,-6.2733426,3.9555433,8.3402195,2.5145125,0.43850502,13.018698,9.7973175,9,9,1,1,4.704,-3.97228,18.657629,947.9115,-16.421841,0.098225296,0.93505496,15,14,4,10.926,-6.9239998,-2.5922863,0.13187985,42.994942,282.97104,0,106.74055,13.159503,0.81004649,0.030472601,0.74371427,17.451376,108.78461,18.628778,-116432.48,898.35187,-16.25959,2721.856,24763.605,2924.4412,483.39578,-6.9239998,0.066904634,0.13850376,0.54054141,0.24880487,0.030472601,0.75119513,17.451376,430.20245,245.6763,0.13850376,0.67647058,105.61406,22.544069,6.37115,164.79224,56.605217,5.513495,39.819687,33.203491,6.37115,89.196098,197.75069,78.414154,131.58875,2.3518922,1.1994097,125.61,78.851715,3.3203843,0.11885341,2.5817301,1.9274265,1.0927166,0.42524791,0.012641662,198,99.5,6.1644139,6.2649822,0.5,0.5,0.5,0.70710677,-2.4793415,-2.4174232,-7.5321589,-7.4738612,-7.3274837,1.5578048,160.375,49.5,62.75,19.25,2.25,2.25,6.875,3,0.092615515,0.033475783,0.56031156,0.75830841,0.68340248,0.59863508,0.69629318,0.11430106,0.84137404,1.2130649,4.3802867,4.8556995,5.9462204,1.409547,1046.5,483.5,154.375,56.125,17.625,7.875,997,420.75,135.125,15.375,1,0,5062
p5,0.867447865,7.7348614,0.027631825,-134311.11,501.80219,-13.62613,73.156242,856.62817,441.96176,414.66644,703.83014,152.79807,2,2,24,26,1.5837595,7,1.0373086,-2.2583404,-0.64151269,0.70891225,-0.53807992,0.80591482,2.3511269,0.85431087,26.643761,7,2,0.18421052,3659.4434,2603.2759,11.198639,27.295321,1056.1675,0.77598405,1.801026,1.3475387,-0.33326954,-1.1475039,12.706577,-69.314049,-132.15721,0.29030952,-1.14e-13,-0.74096709,7.7243648,0.006402588,26.324297,70.513832,0.51593184,0.1783715,4.2719154,3.03898,-0.80319786,-0.3798987,0.12311444,2.5037603,-0.2902711,0.21558134,0.25878397,4.3557501,3.6444423,1.7252209,7.4693522,2.2197297,0.18160792,10.04322,6.3403206,7,7,0,2,8.1160002,-8.73627,6.4613996,487.79547,-13.79944,0.087952077,0.93177998,27,7,2,8.2799997,-6.2779999,-2.2113857,0.1295685,9.0394926,86.062355,13.399102,196.07846,72.323395,0.81182206,0.035872053,0.39305103,17.451376,91.546577,4.602798,-119603.16,535.32855,-13.33068,2628.3547,7005.1636,715.6781,22457.936,-6.2779999,0.088285021,0.12010194,0.76656288,0.61602849,0.035872053,0.38397151,17.451376,186.7981,96.113319,0.12010194,0.6857143,99.365433,22.544069,6.37115,33.203491,0,89.32428,33.57106,33.203491,13.372363,94.709595,282.29095,4.6558404,78.297287,2.0531375,1.1315104,116.73,78.851715,3.5362997,0.13427164,2.6302671,2.1757898,1.0912869,0.4171409,0.013345619,248.875,125.625,6.98212,7.9529867,11.247222,0.5,0.5,0.70710677,-2.4696329,-2.4324043,-7.8667183,-7.467515,-7.3141928,1.4979755,199.75,93.25,80,25.25,6.375,2.875,7.625,2.75,0.087690741,0.034383263,0.60287571,0.52811551,0.88525766,0.43791962,0.34423837,0.1919502,0.95878464,1.7939165,4.5547113,5.2244859,6.0645552,1.4279424,1034.5,439.125,138.25,53.875,17.875,8.25,941.25,359.125,113,15,0.625,0,5140
p8,0.664234469,9.3418121,0.021747908,-169862.81,958.4762,-16.179661,109.45286,1113.5391,506.18283,320.92548,931.71552,181.82361,1,2,24,36,1.344636,9,0.77154636,-2.7851548,-0.57440764,0.70007569,-0.53807992,0.72192788,2.6090729,0.80175292,56.867142,11,3,0.21153846,6434.5962,2795.9026,16.015137,185.25737,3638.6936,0.68158346,3.4830298,2.0486171,-0.75837934,2.7128446,13.592211,4.9357162,-304.58972,0.024440115,-5.68e-14,0.25401419,10.161229,0.008897588,3.5359695,88.740417,0.45457122,0.16328444,5.7785091,2.5108256,-0.87837362,-0.36933693,0.12701912,2.9437358,-0.31060302,0.16239242,0.1912203,3.8526249,-1.631999,3.8957562,7.9645252,1.6291072,0.063447654,14.224082,8.7090664,9,9,0,2,8.2600002,-8.0075302,9.0364914,1000.3699,-15.90572,0.049170446,0.98276591,39,15,5,12.712,-8.7119999,-3.140383,0.10606858,73.345421,207.07784,32.676571,98.03923,135.70854,0.83851999,0.025904845,0.61313504,17.451376,108.78461,9.1511421,-154057.03,967.60797,-16.34692,2668.8,32418.084,1151.5535,21573.568,-8.7119999,0.057504721,0.11007805,0.69888997,0.3999784,0.025904845,0.6000216,17.451376,404.2179,185.39812,0.11007805,0.17021276,105.61406,22.544069,12.7423,33.203491,75.473625,42.392651,39.819687,33.203491,20.706238,89.196098,429.93008,78.414154,0,1.858456,1.3902503,125.61,78.851715,2.1098862,0.12294259,2.5297883,2.0666637,0.92327243,0.36417344,0.010302028,294.5,135.25,0.70710677,0.86602539,1.5,0.5,0.70710677,0.5,-2.4182351,-2.4111245,-7.7376328,-7.7053218,-7.5176549,1.5939282,189.875,37.125,66.75,19,0.875,-0.125,5.875,2.625,0.075697869,0.026888847,0.12495162,0.13292021,0.15482476,0.20851563,0.78878605,0.1800483,0.31508291,0.6739983,3.9600019,4.8300314,5.5911727,1.4837807,1196,485.25,155.875,57.625,17.75,7.5,1158.875,418.5,136.875,17.875,1.625,0,12352
p9,0.289811839,6.6713409,0.032546591,-142089.14,921.59979,-16.271231,86.532097,910.31567,394.74286,155.83856,637.96735,272.34833,2,4,12,24,1.401996,11,0.98934954,-2.7600355,-0.64180553,0.70417643,-0.53807992,0.65449345,2.4720156,0.85431087,51.627899,11,4,0.27500001,4910.6011,1314.9658,8.9326534,238.90428,3595.6353,0.69852287,7.1274409,-3.9310958,-3.9223154,4.4679236,15.526628,199.30058,-98.499802,0.065441087,-1.71e-13,1.7670877,10.404479,0.010102568,-1.4241948,67.476128,0.43363294,0.29918009,5.3943939,1.4445163,-0.87405753,-0.38028792,0.17149793,2.7519209,-0.31521738,0.16445385,0.19305076,7.6119752,-7.7775464,3.9439638,8.2272463,1.8963116,0.080408409,12.979873,8.2421799,11,11,0,3,1.892,-3.19853,30.506733,969.75842,-16.655199,0.17659713,0.85833132,27,15,5,12.44,-8.4379997,-3.1661899,0.1095783,130.33858,182.27785,0,98.03923,13.159503,0.77808148,0.03073086,0.75686473,17.451376,126.02263,30.759102,-126634.42,950.88318,-16.308149,3937.4165,8987.9854,2174.9775,11522.46,-8.4379997,0.058762059,0.10737141,0.48413283,0.25091353,0.03073086,0.7490865,17.451376,425.38962,275.49817,0.10737141,0.7027027,135.38693,28.792696,6.37115,33.203491,0,5.513495,33.57106,75.473625,6.37115,89.196098,141.14548,225.93077,0,2.789212,1.1720705,156.42999,90.216866,1.9063199,0.11762546,2.567843,2.1734941,1.1641048,0.51363307,0.021224268,203,83.125,0.5,1.118034,0.70710677,0.70710677,0.5,1.118034,-2.6020579,-2.4591792,-8.4822197,-8.1561394,-7.9756017,1.5146449,161.25,67.5,76.875,36,9.125,11.5,8.25,5.125,0.125,0.062114991,0.31858006,0.35709241,1.0024298,0.75604206,1.7000471,0.22665009,0.69232982,0.88460612,2.3284478,3.4644425,4.2774315,1.4470335,1097.625,516,185.375,70.75,30.25,11.125,1030.125,439.125,149.375,18.75,2.875,0,6312
p13,0.541704023,7.84162,0.030873105,-162507.3,510.62555,-11.7973,101.9321,1053.327,482.85635,322.19235,888.47705,164.84991,2,2,24,34,1.3687952,9,0.78526556,-2.7439284,-0.64151496,0.70006895,-0.53807992,0.80591482,2.6741874,0.85431087,51.627899,9,3,0.22,4917.4092,2636.1777,15.198639,160.66402,2281.2314,0.69137865,4.3565326,-1.0923399,-3.3796237,-2.522759,17.875751,-135.67441,-190.80019,-0.71912962,1.71e-13,0.10912799,10.329499,0.006991287,17.121094,93.350395,0.45841071,0.15650403,4.6684546,2.5027156,-0.83524323,-0.3859475,0.11527138,2.8369968,-0.30522895,0.16445385,0.19305076,6.0425129,1.4292721,1.9761122,8.6148224,1.1458404,0.014405108,12.633917,7.2708039,9,7,0,2,7.296,-8.1682301,18.110592,506.11374,-12.12642,0.21090207,0.81925446,39,15,5,10.184,-8.1820002,-2.9800761,0.096253544,169.21983,109.41582,0,147.05885,86.688927,0.85281193,0.028058223,0.58097631,17.451376,91.546577,17.929914,-146934.47,491.43539,-11.87368,7688.5991,27349.719,6563.562,3092.1904,-8.1820002,0.071779259,0.10241994,0.74399602,0.42612544,0.028058223,0.57387453,17.451376,356.9328,141.77544,0.10241994,0.75555557,105.61406,22.544069,6.37115,33.203491,75.473625,11.02699,0,96.547424,14.335087,28.915218,393.05093,78.414154,0,3.4249377,1.2736336,118.47,78.851715,5.2458086,0.17901376,2.5346897,2.0704532,0.89442891,0.32273439,0.011191396,318,147.75,0.70710677,6.4226165,6.1032777,0.5,0.5,1,-2.4512615,-2.4299283,-7.8527203,-7.6483827,-7.4105372,1.5690138,198.625,60.375,93,29.25,9.625,7.25,6,2.625,0.07333333,0.032245681,0.99089283,1.0039197,1.4389201,0.5343312,0.31455055,0.1705571,1.5258383,3.10307,5.4318252,6.7232604,7.8572764,1.4777575,1114.375,434.5,136.25,55,21,7.875,1054,341.5,107,13.75,1.875,0,10716
p14,1.029654417,6.0212417,0.060499426,-174722.31,945.40942,-16.660721,115.21362,998.39996,401.40878,214.91711,804.57599,193.82401,1,2,24,37,1.3211142,9,0.95886689,-2.7235825,-0.64151502,0.70392221,-0.53807992,0.67993516,2.5820217,0.85431087,63.426384,20,9,0.39215687,5102.7085,1872.3579,16.296356,186.49167,3230.3506,0.66367841,4.0813637,2.4293361,2.0044174,-2.5957975,14.576202,5.2992277,-269.0274,-0.003818713,0,0.77546155,10.627021,0.008470661,2.2923341,84.083389,0.40205207,0.19413462,5.1108861,1.8753586,-0.87933898,-0.37990165,0.12067039,2.8476574,-0.28962713,0.16445385,0.19305076,3.852962,-1.72264,3.9435687,8.2358131,2.6745815,0.44614205,17.780458,11.704481,9,9,0,2,8.9619999,-8.1625004,9.1785955,1010.604,-16.866859,0.31785768,0.74305081,27,20,4,12.712,-8.7119999,-3.1869524,0.10465923,73.004341,241.99326,26.384649,144.2359,135.70854,0.85459548,0.023325996,0.58990002,17.451376,108.78461,0,-97679.742,412.20602,-13.67874,7268.4868,8190.9409,3423.2048,11949.366,0,0,0,0,0,0.023325996,0.63983977,17.451376,478.69699,205.49084,0.11007805,0.16666667,105.61406,22.544069,12.7423,33.203491,56.605217,109.04468,39.819687,33.203491,12.7423,89.196098,411.06168,115.29331,66.652031,3.2475131,1.3246183,125.61,78.851715,5.7289543,0.23202026,2.4209757,1.9668591,0.92733902,0.33954561,0.009254458,292.5,159.625,10.356157,0.5,9.9749689,0.5,0.5,0.70710677,-2.7590003,-2.6873524,-7.5374417,-7.3055224,-7.109591,1.4330114,171.125,42.875,38.75,12.375,-3.25,-2.625,5.75,2.375,0.063800275,0.021800565,0.73817998,0.7744866,1.0890465,0.46254423,0.61274529,0.46054989,1.6326525,3.0853486,7.7329397,7.9940815,8.0700884,1.6647067,1062.625,430.125,129.75,46,13.5,6,1019.75,391.375,117.375,16.125,0.25,0,13725
p17,1.415418606,6.2283869,0.023070365,-108501.8,408.09433,-13.80699,68.424171,793.7533,285.72418,161.351,632.18463,161.56865,1,2,12,20,1.3699385,7,1.5121996,-2.5781336,-0.64180553,0.70066619,-0.53807992,0.79794085,2.6347227,0.85431087,36.735832,11,6,0.43333334,2002.355,807.72314,9.3468666,124.37316,1194.6318,0.67776197,1.5819378,-1.0225497,-1.1541535,0.35333967,8.2958231,-69.701012,-158.73761,0.019806333,2.84e-14,-0.48215505,5.129992,0.006069309,-1.7976931,43.649647,0.35996595,0.20355022,2.5226414,1.0175997,-0.80329812,-0.38028792,0.13424684,2.548466,-0.30580863,0.16445385,0.19305076,3.8532476,0.034477521,1.9745983,8.5877314,1.1536326,0.015323183,10.505659,6.8224263,7,7,1,1,5.7220001,-5.7083702,4.5493608,410.08533,-13.94183,0.096434496,0.92984885,15,13,2,7.0079999,-5.006,-2.1647706,0.13250774,59.715405,95.38546,0,115.44186,68.057487,0.79574013,0.038937725,0.53061593,17.451376,91.546577,3.5545578,-97679.742,412.20602,-13.67874,1460.5627,13747.972,1298.2854,298.42871,-5.006,0.10430936,0.15860967,0.71763957,0.31792149,0.038937725,0.68207848,17.451376,305.69861,109.09887,0.15860967,0.62068963,99.365433,22.544069,6.37115,33.203491,75.473625,72.165527,0,96.547424,6.37115,23.401724,216.61909,41.534996,66.652031,2.0300763,1.0051708,111.99,78.851715,2.4865777,0.14043772,2.561445,1.8669822,1.061427,0.42175671,0.014393001,156,82.875,13.162447,0.70710677,13.086252,0.5,0.5,0.70710677,-2.576298,-2.5533211,-7.4638152,-7.3029747,-6.9844003,1.4732059,165.25,84,79.125,28.5,8,4,6.5,2.875,0.098119579,0.040122598,0.30404586,0.44755751,0.34158671,0.55707186,1.1001954,0.16621536,0.69717777,0.95271266,3.6348145,4.3191872,5.2147665,1.4043307,847.125,401.375,129.125,50.875,18,8.25,763.125,322.25,100.625,14,1.75,0,3100
